"column","district","restaurantName","address","contactInfo","googlereviewlink","openingtime","latitude","longitude","ratingintotaloffive","ratingcategories"
"28","大學城","好吃刈包糯米腸","251新北市淡水區北新路182巷13號","0937-340-622","https://reurl.cc/AANXeE","星期一~星期四、星期日:11:00–20:00/星期五、星期六:休息","25.1777878","121.4466352","4.5","四分或以上"
"29","大學城","老發港式小廚","251新北市淡水區北新路182巷5弄26號","(02) 8631-3866","https://reurl.cc/aVWEmQ","星期一、星期三~星期五:11:00–20:00/星期六:12:00–20:00/星期日:休息","25.1774166","121.4469563","4.2","四分或以上"
"30","大學城","淡水盒 x 活力餐廚（淡水店）","251新北市淡水區北新路182巷31號","0912-689-660","https://reurl.cc/p6k8ed","星期一~星期日:11:00–20:00","25.1774787","121.4460898","4.7","四分或以上"
"31","大學城","清水誠食堂","251新北市淡水區北新路182巷21弄3-1號","N/A","https://reurl.cc/QXvNKo","星期一~星期五:09:00–20:00/星期六、星期日:休息","25.1771588","121.4463685","4.6","四分或以上"
"32","大學城","麥德多","251新北市淡水區北新路182巷21弄1號","(02) 2623-8947","https://reurl.cc/LAkeGx","星期一~星期五:07:00–20:00/星期六、星期日:休息","25.1774796","121.4464529","4.6","四分或以上"
"33","大學城","尋早餐吧","251新北市淡水區北新路182巷21弄12號","(02) 2622-5821","https://reurl.cc/kXz9zq","星期一~星期日:07:00–14:30","25.1772761","121.4462613","3.9","三分"
"34","大學城","晶淳快餐店","251新北市淡水區北新路182巷29號","(02) 8631-3509","https://reurl.cc/VLdn96","星期一~星期六:10:00–20:00/星期日:休息","25.177448","121.4460973","4","四分或以上"
"35","大學城","滄州燒臘快餐","251新北市淡水區北新路182巷33號","(02) 2623-3433","https://reurl.cc/p6k8G4","星期一~星期三、星期五~星期日:11:00–20:00/星期四:休息","25.1774099","121.446062","4.1","四分或以上"
"36","大學城","聖堡食坊","251新北市淡水區北新路182巷21弄8號","(02) 2622-4976","https://reurl.cc/QXvNrb","星期一~星期五、星期日:11:00–20:30/星期六:休息","25.1773007","121.4463415","4.4","四分或以上"
"37","大學城","補蛋計畫","251新北市淡水區北新路182巷3弄28號","(02) 2620-0396","https://reurl.cc/v7ZGYA","星期一~星期五:11:00–14:00、16:00–20:00/星期六、星期日:休息","25.177524","121.446895","4.2","四分或以上"
"38","大學城","噴火龍","251新北市淡水區北新路182巷3弄16號","(02) 2626-1680","https://reurl.cc/DAVYzN","星期一~星期四:09:30–19:30/星期五:09:30–17:30/星期日:11:00–16:00/星期六:休息","25.1775961","121.4469298","4","四分或以上"
"39","大學城","醬飯屋","251新北市淡水區北新路182巷41弄10號","(02) 8631-6029","https://reurl.cc/b9Oe0l","星期一~星期五、星期日:11:00–19:30/星期六:休息","25.1771941","121.4457669","4.3","四分或以上"
"40","大學城","Eat窩","251新北市淡水區北新路182巷21弄11號","(02) 2620-3898","https://reurl.cc/LAkeYX","星期一~星期六:11:00–14:30、17:00–20:30/星期日:休息","25.1745231","121.4502489","4.2","四分或以上"
